Date,Open,High,Low,Close,Adj Close,Volume
19-08-2019,1171.305908,1185.706665,1170.345825,1181.866455,1161.116089,8158801
20-08-2019,1179.306396,1181.866455,1163.579834,1166.642822,1146.159912,7484649
21-08-2019,1166.36853,1169.111572,1158.002441,1162.071167,1141.668457,5338924
22-08-2019,1162.071167,1162.116821,1132.766846,1139.944336,1119.930176,7015976
23-08-2019,1132.858276,1174.003174,1121.429077,1166.551392,1146.069946,10653957
26-08-2019,1183.146484,1183.146484,1151.144897,1158.276733,1137.940552,9601252
27-08-2019,1174.91748,1174.91748,1153.156372,1165.637085,1145.171631,14200953
28-08-2019,1164.631348,1171.260254,1148.447632,1155.076538,1134.796631,5802744
29-08-2019,1148.813354,1152.287842,1129.47522,1135.372681,1115.438599,9445111
30-08-2019,1138.801392,1146.938965,1116.400269,1141.590088,1121.546997,12367620
03-09-2019,1135.829834,1136.515625,1097.199219,1103.051025,1083.684448,9365309
04-09-2019,1097.702148,1101.999512,1084.444336,1098.250732,1078.968506,16474697
05-09-2019,1103.416748,1109.268433,1091.073242,1095.919189,1076.677856,11497743
06-09-2019,1099.942261,1123.714966,1092.856201,1117.771729,1098.146851,11593409
09-09-2019,1116.0802,1127.372192,1109.222778,1117.497437,1097.877441,5873964
11-09-2019,1117.771729,1133.772583,1117.771729,1128.652344,1108.836304,6063950
12-09-2019,1129.200928,1134.18396,1102.411011,1106.662598,1087.23291,5940002
13-09-2019,1108.171265,1123.25769,1103.508179,1120.606201,1100.931519,6473857
16-09-2019,1087.141602,1114.662964,1084.48999,1107.02832,1087.591919,10273865
17-09-2019,1107.256958,1107.256958,1091.256104,1094.867676,1075.644653,7820386
18-09-2019,1101.72522,1112.102905,1094.63916,1102.411011,1083.055786,7466954
19-09-2019,1104.376709,1106.068237,1072.192261,1078.043945,1059.116577,6883111
20-09-2019,1086.181519,1161.111084,1073.700928,1146.893188,1126.756958,24082780
23-09-2019,1164.99707,1171.260254,1129.200928,1133.041138,1113.148071,10805422
24-09-2019,1137.064209,1187.535278,1136.286987,1169.157227,1148.630127,17479487
25-09-2019,1174.003174,1184.060913,1160.151123,1169.934448,1149.393677,9096135
26-09-2019,1181.317871,1187.535278,1173.546021,1185.706665,1164.889038,9175228
27-09-2019,1181.775024,1202.347534,1174.003174,1196.907227,1175.892822,9529331
30-09-2019,1197.775879,1221.319946,1193.707031,1218.119751,1196.733032,12631885
01-10-2019,1222.462891,1227.034546,1182.50647,1193.112793,1172.165039,8960192
03-10-2019,1175.831909,1202.073242,1171.534546,1198.735962,1177.689453,6762425
04-10-2019,1206.827759,1214.782471,1192.15271,1196.038574,1175.039429,7496126
07-10-2019,1196.038574,1207.650635,1190.18689,1197.86731,1176.83606,5030792
09-10-2019,1196.58728,1216.016846,1181.775024,1211.262207,1189.995972,8794323
10-10-2019,1211.490845,1251.721436,1207.833496,1246.006958,1224.130493,17503195
11-10-2019,1246.875488,1248.612793,1222.051392,1236.72644,1215.012939,8298563
14-10-2019,1248.018433,1248.018433,1235.126343,1241.663818,1219.863647,6697137
15-10-2019,1245.77832,1252.635864,1238.280762,1247.286987,1225.388062,4836395
16-10-2019,1252.544434,1261.459106,1246.875488,1254.784546,1232.75415,9701830
17-10-2019,1257.20752,1279.151489,1254.464478,1276.865601,1254.447388,8019470
18-10-2019,1283.723145,1305.575684,1278.877197,1295.015137,1272.27832,14060975
22-10-2019,1302.924072,1313.758911,1283.128784,1293.003662,1270.302124,13893251
23-10-2019,1294.969482,1303.792725,1264.659302,1273.116821,1250.764404,9223080
24-10-2019,1280.980103,1317.919189,1267.768066,1313.393188,1290.33374,11321244
25-10-2019,1317.644897,1317.964844,1290.352051,1308.593018,1285.617798,6769978
27-10-2019,1317.553467,1321.210815,1307.495728,1311.381714,1288.357544,1507420
29-10-2019,1321.667969,1353.212402,1318.559204,1341.371826,1317.821045,12884252
30-10-2019,1353.212402,1357.372681,1335.200073,1352.389526,1328.645386,8170683
31-10-2019,1356.869751,1362.035767,1336.480103,1338.903076,1315.39563,9731870
01-11-2019,1330.354126,1336.571533,1317.553467,1332.091309,1308.703613,6952150
04-11-2019,1340.320313,1344.983398,1321.302246,1332.7771,1309.377197,7031717
05-11-2019,1337.760254,1343.109009,1317.553467,1323.313721,1300.079956,6342678
06-11-2019,1319.107788,1322.536499,1306.124268,1311.975952,1288.941284,7312752
07-11-2019,1312.067505,1337.668701,1309.507324,1333.645752,1310.230591,7042019
08-11-2019,1324.868164,1334.605713,1317.827759,1321.667969,1298.463135,6009676
11-11-2019,1315.816162,1320.525024,1300.68396,1305.484253,1282.563599,5678920
13-11-2019,1307.495728,1349.463623,1307.495728,1346.171997,1322.536987,12612874
14-11-2019,1349.555054,1354.675293,1331.085571,1337.440186,1313.958374,7129066
15-11-2019,1340.091797,1359.429932,1337.805908,1344.846313,1321.234619,7845802
18-11-2019,1346.492065,1358.698364,1330.719849,1334.194336,1310.769531,7038025
